source_file,run_id,case_id,company_name,pred_financing_initiation,true_financing_initiation,financing_initiation_correct,pred_financing_completion,true_financing_completion,pred_deal_type,true_deal_type,deal_type_correct,pred_valuation_direction,true_valuation_direction,valuation_direction_correct,pred_deal_size_usd_m,true_deal_size_usd_m,deal_size_abs_error_usd_m,deal_size_abs_pct_error,deal_size_within_25pct,deal_size_within_50pct,pred_post_money_valuation_usd_m,true_post_money_valuation_usd_m,post_money_valuation_abs_error,post_money_valuation_abs_pct_error,post_money_valuation_within_25pct,post_money_valuation_within_50pct,pred_investor_ownership_pct,true_investor_ownership_pct,investor_ownership_abs_error,investor_ownership_abs_pct_error,investor_ownership_within_25pct,investor_ownership_within_50pct
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,4790087_197130868T,4790087,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,10.0,0.06745,9.93255,147.25796886582657,False,False,50.0,,,,,,20.0,,,,,
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,11830986_813677134T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,seed round,early stage vc,False,up,,,9.642857,110.75,101.10714300000001,0.9129313137697518,False,False,48.214286,,,,,,20.357143,,,,,
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,11830986_549655044T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,110.75,17.607315,93.142685,5.289999355381556,False,False,269.642857,,,,,,23.163265,,,,,
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,11830986_069610272T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,10.0,23.0,13.0,0.5652173913043478,False,False,50.0,,,,,,20.0,,,,,
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,11830986_789374083T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,28.571429,350.0,321.428571,0.9183673457142857,False,False,189.285714,1100.0,910.714286,0.8279220781818182,False,False,24.642857,77.27272727,52.629870270000005,0.6810924388122739,False,False
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,11830986_816183250T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,later stage vc,False,up,up,True,50.0,250.0,200.0,0.8,False,False,150.0,2250.0,2100.0,0.9333333333333333,False,False,25.0,78.22066854,53.220668540000005,0.6803913790737335,False,False
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,11830986_293087727T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,later stage vc,later stage vc,True,up,,,250.0,100.0,150.0,1.5,False,False,2750.0,,,,,,22.79472,,,,,
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,11982935_342853943T,11982935,raise_now,raise_now,True,likely_complete,likely_complete,seed round,seed round,True,up,,,10.0,,,,,,50.0,,,,,,20.0,,,,,
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,26050294_545686821T,26050294,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,10.0,0.82633477,9.17366523,11.101632852748045,False,False,50.0,,,,,,20.0,,,,,
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,55845274_951718297T,55845274,raise_now,raise_now,True,likely_complete,likely_complete,seed round,seed round,True,up,,,10.0,0.7,9.3,13.285714285714288,False,False,50.0,,,,,,20.0,,,,,
outputs/batch/pitchbook_004/run_001/results.jsonl,run_001,55845274_269156833T,55845274,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,1.028571,3.142495,2.113924,0.6726896940170152,False,False,5.0,15.697907,10.697907,0.6814862006763067,False,False,22.5,20.01856074,2.4814392599999984,0.12395692638590751,True,True
