source_file,run_id,case_id,company_name,pred_financing_initiation,true_financing_initiation,financing_initiation_correct,pred_financing_completion,true_financing_completion,pred_deal_type,true_deal_type,deal_type_correct,pred_valuation_direction,true_valuation_direction,valuation_direction_correct,pred_deal_size_usd_m,true_deal_size_usd_m,deal_size_abs_error_usd_m,deal_size_abs_pct_error,deal_size_within_25pct,deal_size_within_50pct,pred_post_money_valuation_usd_m,true_post_money_valuation_usd_m,post_money_valuation_abs_error,post_money_valuation_abs_pct_error,post_money_valuation_within_25pct,post_money_valuation_within_50pct,pred_investor_ownership_pct,true_investor_ownership_pct,investor_ownership_abs_error,investor_ownership_abs_pct_error,investor_ownership_within_25pct,investor_ownership_within_50pct
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,4790087_197130868T,4790087,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,2.464286,0.06745,2.396836,35.535003706449224,False,False,9.857143,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,11830986_813677134T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,2.464286,110.75,108.285714,0.9777491106094808,False,False,9.857143,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,11830986_549655044T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,220.0,17.607315,202.392685,11.494806845904671,False,False,330.0,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,11830986_069610272T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,35.21,23.0,12.21,0.5308695652173914,False,False,183.57,,,,,,35.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,11830986_789374083T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,30.0,350.0,320.0,0.9142857142857143,False,False,200.0,1100.0,900.0,0.8181818181818182,False,False,25.0,77.27272727,52.272727270000004,0.6764705882238754,False,False
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,11830986_816183250T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,later stage vc,False,up,up,True,500.0,250.0,250.0,1.0,False,False,2000.0,2250.0,250.0,0.1111111111111111,True,True,25.0,78.22066854,53.220668540000005,0.6803913790737335,False,False
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,11830986_293087727T,11830986,raise_now,raise_now,True,likely_complete,likely_complete,later stage vc,later stage vc,True,up,,,300.0,100.0,200.0,2.0,False,False,3000.0,,,,,,75.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,11982935_342853943T,11982935,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,2.178571,,,,,,7.785714,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,26050294_545686821T,26050294,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,4.857143,0.82633477,4.03080823,4.87793612992952,False,False,24.285714,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,55845274_951718297T,55845274,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,2.071429,0.7,1.3714290000000002,1.9591842857142863,False,False,8.357143,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,55845274_269156833T,55845274,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,1.285714,3.142495,1.8567809999999998,0.5908620379666475,False,False,2.142857,15.697907,13.555050000000001,0.8634940951045258,False,False,25.0,20.01856074,4.981439259999998,0.24884102931767502,True,True
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,56698470_648838575T,56698470,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,4.785714,,,,,,14.428571,15.0,0.5714290000000002,0.038095266666666676,True,True,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,56698470_418076218T,56698470,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,1.589286,0.37,1.2192859999999999,3.2953675675675673,False,False,19.857143,,,,,,24.107143,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,65829781_596811480T,65829781,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,2.0,,,,,,8.0,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,65829781_005051561T,65829781,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,secondary transaction private,False,up,,,2.678571,,,,,,16.071429,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,82237047_660939529T,82237047,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,2.0,0.23692996,1.7630700400000001,7.441313204965721,False,False,8.0,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,82237047_094939993T,82237047,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,0.75,0.8,0.050000000000000044,0.06250000000000006,True,True,1.0,4.3,3.3,0.7674418604651163,False,False,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,82237047_302141975T,82237047,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,later stage vc,False,up,,,2.035714,2.55275491,0.51704091,0.2025423231876185,True,True,6.107143,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,87512028_605122136T,87512028,raise_now,raise_now,True,likely_complete,likely_complete,seed round,secondary transaction private,False,up,,,2.107143,,,,,,12.357143,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,87512028_919782061T,87512028,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,2.392857,,,,,,14.285714,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,97714444_926438972T,97714444,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,1.964286,12.0,10.035714,0.8363095,False,False,7.857143,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,101676742_333240762T,101676742,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,later stage vc,False,up,,,1.857143,,,,,,7.428571,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,103281360_917957046T,103281360,raise_now,raise_now,True,likely_complete,likely_complete,seed round,early stage vc,False,up,,,0.678571,0.55393458,0.12463642000000008,0.22500205710212223,True,True,3.535714,,,,,,33.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,108943275_273554390T,108943275,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,2.285714,0.6,1.685714,2.8095233333333334,False,False,9.642857,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,108943275_242536412T,108943275,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,1.057143,2.728363,1.67122,0.6125357952735762,False,False,2.114286,6.540691,4.426405,0.676748832806809,False,False,25.0,46.8317837,21.831783700000003,0.46617450746382744,False,True
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,123268600_158462168T,123268600,raise_now,raise_now,True,likely_complete,likely_complete,seed round,seed round,True,up,,,1.928571,,,,,,5.785714,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,123268600_221012973T,123268600,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,2.0,,,,,,15.0,25.0,10.0,0.4,False,True,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,123268600_143058813T,123268600,raise_now,raise_now,True,likely_complete,likely_complete,seed round,early stage vc,False,up,,,0.678571,2.0,1.321429,0.6607145,False,False,4.071429,,,,,,34.428571,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,134622385_526904228T,134622385,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,1.357143,0.784,0.573143,0.7310497448979592,False,False,4.571429,3.48,1.0914290000000002,0.3136290229885058,False,True,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,134622385_762593770T,134622385,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,2.321429,2.2715,0.04992900000000011,0.021980629539951623,True,True,5.384286,,,,,,21.428571,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,134622385_571168881T,134622385,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,5.0,0.02320539,4.97679461,214.46718240891448,False,False,15.0,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,145718938_867839336T,145718938,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,early stage vc,True,up,,,1.964286,,,,,,14.642857,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,152916478_891084665T,152916478,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,2.071429,0.68,1.391429,2.0462191176470585,False,False,8.357143,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,152916478_770543621T,152916478,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,1.35,4.4,3.0500000000000003,0.6931818181818182,False,False,2.25,,,,,,25.0,,,,,
outputs/batch/pitchbook_005/run_001/results.jsonl,run_001,152916478_816603649T,152916478,raise_now,raise_now,True,likely_complete,likely_complete,early stage vc,seed round,False,up,,,11.0,3.743051,7.2569490000000005,1.938779086899965,False,False,16.0,7.9,8.1,1.0253164556962024,False,False,25.0,47.38039446,22.380394459999998,0.4723555959183544,False,True
